Station Code,Monitor ID,Repi (km),E_UTM [m],N_UTM [m],LON [°],LAT [°]
PPE,383,48.1512,706906.7000,4945737.0000,999.0000,999.0000
PPE,384,48.3282,704663.0000,4941687.0000,999.0000,999.0000
PPE,385,48.7437,705162.7000,4941687.0000,999.0000,999.0000
PPE,386,48.3029,704917.2000,4942115.0000,999.0000,999.0000
PPE,387,48.6332,706906.7000,4944741.0000,999.0000,999.0000
PPE,388,48.3806,706473.7000,4944492.0000,999.0000,999.0000
PPE,389,48.8801,706906.7000,4944243.0000,999.0000,999.0000
PPE,390,49.1671,705672.0000,4941690.0000,999.0000,999.0000
PPE,391,48.7231,705419.9000,4942116.0000,999.0000,999.0000
PPE,392,48.3758,706026.6000,4943742.0000,999.0000,999.0000
PPE,393,48.1162,705577.2000,4943502.0000,999.0000,999.0000
PPE,394,48.6227,706007.1000,4943234.0000,999.0000,999.0000
PPE,395,49.6047,706171.0000,4941654.0000,999.0000,999.0000
PPE,396,49.1666,705977.9000,4942163.0000,999.0000,999.0000
PPE,397,49.3851,706906.7000,4943247.0000,999.0000,999.0000
PPE,398,49.1385,706460.7000,4942987.0000,999.0000,999.0000
PPE,399,49.6432,706906.7000,4942749.0000,999.0000,999.0000
PPE,400,49.9044,706906.7000,4942252.0000,999.0000,999.0000
PPE,401,49.7034,706497.8000,4941980.0000,999.0000,999.0000
PPE,402,49.4065,706459.6000,4942476.0000,999.0000,999.0000
